City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
241,Bereda,ES,43.2686,-7.5406,50.58,100,72,2.46,broken clouds,2022-06-29 23:08:36
242,Penzance,GB,50.1186,-5.5371,54.28,76,84,12.57,broken clouds,2022-06-29 23:08:37
243,Voloshka,RU,61.3314,40.0858,48.7,77,31,4.7,scattered clouds,2022-06-29 23:08:37
244,Rincon,US,32.296,-81.2354,79.86,88,75,3.44,broken clouds,2022-06-29 23:08:38
245,Saint-Pierre,RE,-21.3393,55.4781,62.28,67,20,6.91,few clouds,2022-06-29 23:08:38
246,Cabo San Lucas,MX,22.8909,-109.9124,92.61,54,0,8.05,clear sky,2022-06-29 23:08:07
247,Ostrovnoy,RU,68.0531,39.5131,50.58,78,44,10.29,scattered clouds,2022-06-29 23:08:39
248,Cairns,AU,-16.9167,145.7667,77.07,97,100,10.36,overcast clouds,2022-06-29 23:07:18
249,Avon,US,41.4517,-82.0354,82.78,55,20,4.61,few clouds,2022-06-29 23:08:39
250,Pemba,MZ,-12.974,40.5178,73.36,69,7,13.11,clear sky,2022-06-29 23:08:40
251,Vrangel,RU,42.7297,133.0839,60.15,93,87,9.89,overcast clouds,2022-06-29 23:08:40
252,Riyadh,SA,24.6877,46.7219,87.94,13,1,10.87,clear sky,2022-06-29 23:04:29
253,College,US,64.8569,-147.8028,77.58,43,75,8.05,smoke,2022-06-29 23:08:41
254,Port-Cartier,CA,50.0334,-66.8654,59.68,88,89,3.29,heavy intensity rain,2022-06-29 23:08:41
255,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,89,2,2.62,clear sky,2022-06-29 23:08:41
256,Mnogovershinnyy,RU,53.9353,139.9242,65.93,60,0,3.02,clear sky,2022-06-29 23:08:42
257,Derveni,GR,38.1333,22.4167,75.81,62,0,1.05,clear sky,2022-06-29 23:08:42
258,Esqueda,MX,30.7167,-109.5833,72.5,66,61,4.99,broken clouds,2022-06-29 23:08:42
